OBJECTID,CELLCODE,EOFORIGIN,NOFORIGIN,ORIG_FID,x,y
9882,1kmE4843N4096,4843000,4096000,9881,19.27814312,59.66130336
9883,1kmE4843N4097,4843000,4097000,9882,19.28057302,59.67021076
9884,1kmE4843N4098,4843000,4098000,9883,19.28300439,59.67911815
9885,1kmE4843N4099,4843000,4099000,9884,19.28543724,59.68802551
9886,1kmE4843N4100,4843000,4100000,9885,19.28787157,59.69693286
9887,1kmE4843N4101,4843000,4101000,9886,19.29030737,59.70584019
9888,1kmE4843N4102,4843000,4102000,9887,19.29274465,59.714747499999994
9889,1kmE4843N4103,4843000,4103000,9888,19.2951834,59.7236548
9890,1kmE4843N4104,4843000,4104000,9889,19.29762364,59.73256207
9891,1kmE4843N4105,4843000,4105000,9890,19.30006536,59.74146933
9892,1kmE4843N4106,4843000,4106000,9891,19.30250856,59.75037657
9893,1kmE4843N4108,4843000,4108000,9892,19.30739942,59.76819099
9894,1kmE4844N4064,4844000,4064000,9893,19.21857099,59.37509377
9895,1kmE4844N4065,4844000,4065000,9894,19.22095884,59.38400144
9896,1kmE4844N4066,4844000,4066000,9895,19.22334813,59.39290908
9897,1kmE4844N4067,4844000,4067000,9896,19.22573885,59.401816700000005
9898,1kmE4844N4068,4844000,4068000,9897,19.228131,59.41072431
9899,1kmE4844N4069,4844000,4069000,9898,19.230524600000003,59.41963189
9900,1kmE4844N4070,4844000,4070000,9899,19.23291963,59.42853946
9901,1kmE4844N4071,4844000,4071000,9900,19.23531611,59.43744701
9902,1kmE4844N4072,4844000,4072000,9901,19.23771402,59.44635454
9903,1kmE4844N4073,4844000,4073000,9902,19.24011338,59.45526205
9904,1kmE4844N4074,4844000,4074000,9903,19.24251418,59.46416954
9905,1kmE4844N4077,4844000,4077000,9904,19.24972526,59.4908919
9906,1kmE4844N4079,4844000,4079000,9905,19.25453989,59.50870672
9907,1kmE4844N4080,4844000,4080000,9906,19.25694938,59.51761409
9908,1kmE4844N4081,4844000,4081000,9907,19.25936033,59.52652145
9909,1kmE4844N4082,4844000,4082000,9908,19.26177273,59.53542879
9910,1kmE4844N4083,4844000,4083000,9909,19.26418659,59.54433612
9911,1kmE4844N4084,4844000,4084000,9910,19.266601899999998,59.55324342
9912,1kmE4844N4085,4844000,4085000,9911,19.26901867,59.5621507
9913,1kmE4844N4088,4844000,4088000,9912,19.27627774,59.58887244
9914,1kmE4844N4089,4844000,4089000,9913,19.27870036,59.59777965
9915,1kmE4844N4090,4844000,4090000,9914,19.28112444,59.60668684
9916,1kmE4844N4091,4844000,4091000,9915,19.28354998,59.61559401
9917,1kmE4844N4092,4844000,4092000,9916,19.285977,59.62450117
9918,1kmE4844N4093,4844000,4093000,9917,19.28840548,59.6334083
9919,1kmE4844N4094,4844000,4094000,9918,19.29083543,59.64231542
9920,1kmE4844N4095,4844000,4095000,9919,19.29326685,59.65122251
9921,1kmE4844N4097,4844000,4097000,9920,19.29813412,59.66903665
9922,1kmE4844N4098,4844000,4098000,9921,19.30056996,59.67794369
9923,1kmE4844N4099,4844000,4099000,9922,19.30300728,59.68685071
9924,1kmE4844N4100,4844000,4100000,9923,19.30544608,59.69575771
9925,1kmE4844N4101,4844000,4101000,9924,19.30788635,59.7046647
9926,1kmE4844N4102,4844000,4102000,9925,19.31032811,59.71357166
9927,1kmE4844N4103,4844000,4103000,9926,19.31277135,59.72247861
9928,1kmE4844N4104,4844000,4104000,9927,19.31521607,59.73138554
9929,1kmE4844N4105,4844000,4105000,9928,19.31766228,59.74029245
9930,1kmE4844N4106,4844000,4106000,9929,19.32010997,59.74919934
9931,1kmE4845N4062,4845000,4062000,9930,19.23120482,59.35611406
9932,1kmE4845N4063,4845000,4063000,9931,19.23359418,59.36502142
9933,1kmE4845N4064,4845000,4064000,9932,19.23598498,59.37392876
9934,1kmE4845N4065,4845000,4065000,9933,19.23837721,59.38283608
9935,1kmE4845N4066,4845000,4066000,9934,19.24077088,59.39174339
9936,1kmE4845N4067,4845000,4067000,9935,19.24316599,59.40065067
9937,1kmE4845N4068,4845000,4068000,9936,19.24556254,59.40955794
9938,1kmE4845N4069,4845000,4069000,9937,19.24796053,59.41846518
9939,1kmE4845N4072,4845000,4072000,9938,19.25516314,59.44518681
9940,1kmE4845N4074,4845000,4074000,9939,19.25997211,59.46300113
9941,1kmE4845N4077,4845000,4077000,9940,19.26719642,59.48972246
9942,1kmE4845N4078,4845000,4078000,9941,19.26960743,59.49862954
9943,1kmE4845N4080,4845000,4080000,9942,19.2744338,59.51644363
