OBJECTID,CELLCODE,EOFORIGIN,NOFORIGIN,ORIG_FID,x,y
8677,1kmE4821N4087,4821000,4087000,8676,18.87069571,59.60633406
8678,1kmE4821N4088,4821000,4088000,8677,18.87301443,59.61524902
8679,1kmE4821N4089,4821000,4089000,8678,18.87533455,59.62416398
8680,1kmE4821N4090,4821000,4090000,8679,18.87765609,59.63307892
8681,1kmE4821N4091,4821000,4091000,8680,18.87997902,59.64199384
8682,1kmE4821N4092,4821000,4092000,8681,18.88230337,59.65090875
8683,1kmE4821N4093,4821000,4093000,8682,18.88462912,59.65982365
8684,1kmE4821N4094,4821000,4094000,8683,18.88695628,59.66873854
8685,1kmE4821N4095,4821000,4095000,8684,18.88928486,59.6776534
8686,1kmE4821N4096,4821000,4096000,8685,18.89161484,59.68656826
8687,1kmE4821N4097,4821000,4097000,8686,18.89394625,59.6954831
8688,1kmE4821N4098,4821000,4098000,8687,18.89627906,59.70439793
8689,1kmE4821N4099,4821000,4099000,8688,18.89861329,59.71331274
8690,1kmE4821N4100,4821000,4100000,8689,18.90094894,59.72222754
8691,1kmE4821N4101,4821000,4101000,8690,18.90328601,59.73114233
8692,1kmE4821N4102,4821000,4102000,8691,18.9056245,59.7400571
8693,1kmE4821N4103,4821000,4103000,8692,18.90796441,59.74897186
8694,1kmE4821N4104,4821000,4104000,8693,18.91030574,59.757886600000006
8695,1kmE4821N4105,4821000,4105000,8694,18.9126485,59.76680133
8696,1kmE4821N4106,4821000,4106000,8695,18.91499268,59.77571605
8697,1kmE4821N4107,4821000,4107000,8696,18.91733829,59.78463075
8698,1kmE4821N4108,4821000,4108000,8697,18.91968532,59.79354544
8699,1kmE4821N4109,4821000,4109000,8698,18.92203379,59.80246012
8700,1kmE4821N4110,4821000,4110000,8699,18.92438368,59.81137478
8701,1kmE4821N4111,4821000,4111000,8700,18.92673501,59.82028943
8702,1kmE4821N4112,4821000,4112000,8701,18.92908777,59.82920406
8703,1kmE4821N4113,4821000,4113000,8702,18.93144196,59.83811868
8704,1kmE4821N4114,4821000,4114000,8703,18.93379759,59.84703329
8705,1kmE4821N4115,4821000,4115000,8704,18.93615465,59.85594788
8706,1kmE4821N4116,4821000,4116000,8705,18.93851315,59.86486246
8707,1kmE4821N4117,4821000,4117000,8706,18.940873100000005,59.87377702
8708,1kmE4821N4118,4821000,4118000,8707,18.94323448,59.88269157
8709,1kmE4821N4119,4821000,4119000,8708,18.9455973,59.89160611
8710,1kmE4821N4120,4821000,4120000,8709,18.94796157,59.90052063
8711,1kmE4821N4121,4821000,4121000,8710,18.95032728,59.90943514
8712,1kmE4821N4122,4821000,4122000,8711,18.95269444,59.91834964
8713,1kmE4821N4123,4821000,4123000,8712,18.95506304,59.92726412
8714,1kmE4821N4124,4821000,4124000,8713,18.9574331,59.93617859
8715,1kmE4822N4029,4822000,4029000,8714,18.755855899999997,59.08813803
8716,1kmE4822N4030,4822000,4030000,8715,18.7580996,59.09705351
8717,1kmE4822N4031,4822000,4031000,8716,18.76034465,59.10596898
8718,1kmE4822N4032,4822000,4032000,8717,18.76259103,59.11488444
8719,1kmE4822N4033,4822000,4033000,8718,18.76483875,59.12379988
8720,1kmE4822N4034,4822000,4034000,8719,18.76708781,59.132715299999994
8721,1kmE4822N4035,4822000,4035000,8720,18.76933821,59.14163071
8722,1kmE4822N4036,4822000,4036000,8721,18.77158995,59.15054611
8723,1kmE4822N4037,4822000,4037000,8722,18.77384303,59.15946149
8724,1kmE4822N4038,4822000,4038000,8723,18.77609747,59.16837685
8725,1kmE4822N4039,4822000,4039000,8724,18.77835324,59.177292200000004
8726,1kmE4822N4040,4822000,4040000,8725,18.78061036,59.18620754
8727,1kmE4822N4041,4822000,4041000,8726,18.78286884,59.19512286
8728,1kmE4822N4042,4822000,4042000,8727,18.78512866,59.20403817
8729,1kmE4822N4043,4822000,4043000,8728,18.78738983,59.21295346
8730,1kmE4822N4044,4822000,4044000,8729,18.78965235,59.22186873
8731,1kmE4822N4045,4822000,4045000,8730,18.79191622,59.230784
8732,1kmE4822N4046,4822000,4046000,8731,18.79418145,59.23969924
8733,1kmE4822N4047,4822000,4047000,8732,18.79644804,59.24861447
8734,1kmE4822N4048,4822000,4048000,8733,18.79871598,59.25752969
8735,1kmE4822N4049,4822000,4049000,8734,18.80098528,59.26644489
8736,1kmE4822N4050,4822000,4050000,8735,18.80325593,59.27536008
8737,1kmE4822N4051,4822000,4051000,8736,18.80552795,59.28427526
8738,1kmE4822N4052,4822000,4052000,8737,18.80780133,59.29319041
8739,1kmE4822N4053,4822000,4053000,8738,18.81007607,59.30210556
8740,1kmE4822N4054,4822000,4054000,8739,18.81235217,59.31102069
8741,1kmE4822N4055,4822000,4055000,8740,18.81462964,59.3199358
8742,1kmE4822N4056,4822000,4056000,8741,18.81690848,59.3288509
8743,1kmE4822N4059,4822000,4059000,8742,18.82375319,59.35559611
8744,1kmE4822N4060,4822000,4060000,8743,18.8260375,59.36451115
8745,1kmE4822N4061,4822000,4061000,8744,18.82832318,59.37342618
8746,1kmE4822N4062,4822000,4062000,8745,18.83061024,59.38234119
8747,1kmE4822N4063,4822000,4063000,8746,18.83289867,59.39125619
8748,1kmE4822N4064,4822000,4064000,8747,18.83518847,59.40017117
8749,1kmE4822N4067,4822000,4067000,8748,18.84206615,59.42691604
8750,1kmE4822N4068,4822000,4068000,8749,18.84436147,59.43583096
8751,1kmE4822N4070,4822000,4070000,8750,18.84895626,59.45366077
8752,1kmE4822N4071,4822000,4071000,8751,18.85125573,59.46257565
8753,1kmE4822N4072,4822000,4072000,8752,18.85355658,59.47149052
8754,1kmE4822N4073,4822000,4073000,8753,18.85585882,59.48040537
8755,1kmE4822N4074,4822000,4074000,8754,18.85816245,59.48932021
8756,1kmE4822N4075,4822000,4075000,8755,18.86046747,59.49823503
8757,1kmE4822N4076,4822000,4076000,8756,18.86277387,59.50714984
8758,1kmE4822N4077,4822000,4077000,8757,18.86508167,59.51606464
8759,1kmE4822N4078,4822000,4078000,8758,18.86739086,59.52497942
8760,1kmE4822N4081,4822000,4081000,8759,18.87432681,59.55172367
8761,1kmE4822N4082,4822000,4082000,8760,18.87664158,59.560638399999995
8762,1kmE4822N4083,4822000,4083000,8761,18.87895776,59.56955311
8763,1kmE4822N4084,4822000,4084000,8762,18.88127533,59.5784678
8764,1kmE4822N4085,4822000,4085000,8763,18.88359431,59.58738248
